,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
2,131829.0,916,7.0,9.0,210.0,35.4059235,136.592366,1034.925115388692,20191101
3,131829.0,922,6.0,1.0,250.0,35.4085245,136.5942506,336.2633126383309,20191101
4,131829.0,926,4.0,1.0,310.0,35.4103769,136.597166,335.3923460663943,20191101
5,131829.0,937,11.0,2.0,800.0,35.4123129,136.6036518,626.6606763662248,20191101
0,131960.0,1037,8.0,2.0,197.0,35.3471045,136.6122409,692.3558520237173,20191101
0,131994.0,939,94.0,243.0,2047.0,35.300377,136.6450096,560.0312047331968,20191101
0,132060.0,1118,11.0,6.0,61.0,35.4335816,136.6177248,534.3009058491165,20191101
1,132060.0,1140,22.0,1.0,10.0,35.4351587,136.625997,770.5622659786247,20191101
2,132060.0,1159,19.0,1.0,56.0,35.4604415,136.6241924,2819.2222918990856,20191101
3,132060.0,1204,45.0,1.0,304.0,35.4604024,136.6218983,208.0551320940936,20191101
0,152412.0,842,14.0,13.0,214.0,35.3324602,136.624951,1550.089017670917,20191101
1,152412.0,901,59.0,32.0,623.0,35.330907200000006,136.62151070000002,357.0760739688915,20191101
2,152412.0,919,18.0,7.0,112.0,35.3047269,136.6120911666667,3037.3739048715843,20191101
0,156126.0,1023,64.0,4.0,243.0,35.3419579,136.61631095,12613.0068650329,20191101
1,156126.0,1110,87.0,65.0,941.0,35.17321909999999,136.6271809,18809.886703517604,20191101
2,156126.0,1118,8.0,65.0,1048.0,35.17309732222222,136.62728395555555,16.483630554945005,20191101
0,156804.0,1114,87.0,75.0,1707.0,35.28069747037038,136.63526998518518,0.6720459348018206,20191101
0,213545.0,923,9.0,1.0,3.0,35.4171912,136.759487,12059.189539518491,20191101
1,213545.0,941,18.0,9.0,305.0,35.3332574,136.6716228,12284.314227877756,20191101
2,213545.0,958,17.0,19.0,136.0,35.30383532666666,136.65854779999998,3483.9202225966405,20191101
3,213545.0,1011,53.0,1.0,10.0,35.3040287,136.6589614,43.30396178401381,20191101
0,214147.0,914,7.0,5.0,50.0,35.3587663,136.5746575,375.6840647223103,20191101
1,214147.0,932,18.0,21.0,414.0,35.3478923,136.5737099,1213.5417154125043,20191101
2,214147.0,942,10.0,21.0,648.0,35.3478923,136.5737099,0.0,20191101
3,214147.0,952,10.0,48.0,843.0,35.3478923,136.5737099,0.0,20191101
4,214147.0,1012,60.0,10.0,200.0,35.3685517,136.5739107,2299.8661391919686,20191101
0,214532.0,933,5.0,3.0,13.0,35.3761271,136.5901627,224.4878484410107,20191101
1,214532.0,941,8.0,11.0,186.0,35.3784618,136.5883143,309.3439045311245,20191101
2,214532.0,946,5.0,3.0,31.0,35.3789195,136.5881966,52.058796755358664,20191101
3,214532.0,949,3.0,5.0,161.0,35.3773984,136.5880866,169.62221058442483,20191101
4,214532.0,953,4.0,1.0,51.0,35.378109,136.5915139,320.9777218817124,20191101
5,214532.0,957,4.0,3.0,150.0,35.3793656,136.5903026,177.91788807063287,20191101
6,214532.0,1002,45.0,1.0,20.0,35.3781732,136.5875105,286.07916395797685,20191101
7,214532.0,1005,3.0,1.0,5.0,35.3777128,136.5875026,51.256446041191204,20191101
8,214532.0,1011,6.0,2.0,80.0,35.3769227,136.5888111,147.78777553456797,20191101
9,214532.0,1014,3.0,1.0,10.0,35.3759916,136.5877079,144.11761437804898,20191101
10,214532.0,1017,3.0,1.0,50.0,35.3752043,136.5852451,240.10774546077943,20191101
11,214532.0,1024,7.0,1.0,21.0,35.3713792,136.5761309,930.4440128208561,20191101
12,214532.0,1032,8.0,4.0,26.0,35.377657325,136.58062335,809.1402695516692,20191101
13,214532.0,1037,5.0,1.0,10.0,35.3793827,136.5804072,193.067229492568,20191101
14,214532.0,1040,3.0,2.0,35.0,35.3805392,136.5774922,294.2319335536076,20191101
15,214532.0,1045,5.0,4.0,111.0,35.3811271,136.5750502,231.09903792697511,20191101
16,214532.0,1048,3.0,15.0,150.0,35.3805946,136.5806365,510.4724316955531,20191101
17,214532.0,1057,9.0,1.0,5.0,35.3808404,136.5827778,196.26392477203814,20191101
18,214532.0,1104,47.0,3.0,35.0,35.3825557,136.5863762,378.3153763109198,20191101
0,214818.0,943,11.0,1.0,19.0,35.3469714,136.627918,1004.568113981029,20191101
1,214818.0,951,8.0,14.0,272.0,35.3515581,136.6336142,726.7688568173123,20191101
2,214818.0,956,5.0,6.0,275.0,35.3505915,136.630785,278.50216008880795,20191101
3,214818.0,1003,47.0,4.0,65.0,35.3522686,136.629669,212.4185925818763,20191101
4,214818.0,1013,10.0,6.0,84.0,35.354198,136.6266906,345.33306460264663,20191101
5,214818.0,1030,17.0,1.0,10.0,35.3585712,136.6302627,584.9534762761876,20191101
6,214818.0,1031,1.0,1.0,10.0,35.3594243,136.6299186,99.97279067954975,20191101
7,214818.0,1043,12.0,1.0,1.0,35.3585323,136.6247646,478.32986385377234,20191101
8,214818.0,1047,4.0,3.0,8.0,35.3571161,136.6251439,161.3676753835375,20191101
9,214818.0,1057,10.0,2.0,67.0,35.3554103,136.6267865,241.44858716500616,20191101
10,214818.0,1102,45.0,1.0,20.0,35.354776,136.6293012,238.97945883377636,20191101
11,214818.0,1121,19.0,10.0,200.0,35.3480869,136.6387831,1138.2538333596976,20191101
0,214898.0,820,3.0,12.0,163.0,35.3559137,136.6141287,291.6900473704016,20191101
1,214898.0,824,4.0,4.0,53.0,35.3558908,136.613412,65.11858087628822,20191101
2,214898.0,840,16.0,19.0,260.0,35.3586821,136.6089747,508.7637009007585,20191101
3,214898.0,845,5.0,2.0,60.0,35.3565197,136.6066601,319.53416054507676,20191101
4,214898.0,849,4.0,1.0,5.0,35.3556552,136.6100495,322.4175235406037,20191101
